Date,Open,High,Low,Close,Volume,Adj Close
1999-06-02,111.75,114.62,109.44,113.75,7005000,77.8305
1999-06-03,114.56,115.31,111.56,112.94,5112600,77.2763
1999-06-04,113.62,116.0,112.44,116.0,5258800,79.37
1999-06-07,118.12,121.69,117.5,120.5,6663900,82.4491
1999-06-08,119.87,119.87,116.06,116.62,7395400,79.7943
1999-06-09,116.62,120.87,116.56,117.0,5569600,80.0543
1999-06-10,115.87,116.75,113.31,115.25,4851500,78.8569
1999-06-11,115.06,116.5,112.56,114.31,4295200,78.2137
1999-06-14,115.87,116.0,114.0,115.5,4896700,79.0279
1999-06-15,117.5,118.31,114.75,115.87,4884900,79.2811
1999-06-16,119.87,121.5,118.87,120.69,6963100,82.5791
1999-06-17,119.25,122.0,119.0,120.19,4675900,82.237
1999-06-18,120.19,121.44,119.75,120.75,9159600,82.6201
1999-06-21,122.87,125.75,122.62,124.75,6466300,85.357
1999-06-22,123.87,127.75,123.0,123.37,6791300,84.4128
1999-06-23,122.25,124.19,121.75,122.94,4418800,84.1186
1999-06-24,123.12,124.44,121.56,122.56,5231200,83.8586
1999-06-25,123.31,125.75,123.12,123.12,4563600,84.2417
1999-06-28,124.0,124.69,122.19,122.56,6233300,83.8586
1999-06-29,123.0,125.31,122.75,124.62,5223800,85.2681
1999-06-30,124.81,132.0,124.37,129.25,8257300,88.436
1999-07-01,130.0,131.31,128.0,131.0,5911600,89.6334
1999-07-02,130.88,132.25,129.5,132.25,3543600,90.4887
1999-07-06,132.5,133.88,130.81,131.0,5709300,89.6334
1999-07-07,131.0,133.5,130.63,132.81,6648900,90.8719
1999-07-08,132.5,135.5,132.13,134.0,6092900,91.6861
1999-07-09,134.0,137.44,133.88,137.38,4795900,93.9988
1999-07-12,137.44,138.69,135.38,137.81,5046900,94.293
1999-07-13,135.75,139.19,135.75,137.88,5645700,94.3409
1999-07-14,138.31,138.5,136.19,137.25,4724000,93.9098
1999-07-15,138.0,138.13,134.5,136.31,5583600,93.2667
1999-07-16,136.38,137.5,135.38,136.25,5123100,93.2256
1999-07-19,136.5,138.88,133.69,134.63,7626500,92.1172
1999-07-20,132.0,132.13,126.06,128.25,14307400,87.7518
1999-07-21,127.5,129.75,126.87,129.0,8792300,88.265
1999-07-22,127.62,128.5,123.5,123.87,8869100,84.7549
1999-07-23,124.0,125.44,122.62,124.81,6964200,85.3981
1999-07-26,123.62,125.12,122.75,123.0,5519900,84.1596
1999-07-27,125.0,126.5,123.56,126.25,6513500,86.3834
1999-07-28,126.37,128.69,125.81,128.38,5287600,87.8408
1999-07-29,126.25,126.62,124.62,125.37,5707500,85.7812
1999-07-30,125.94,126.69,124.37,125.69,4324900,86.0002
1999-08-02,124.0,126.0,121.81,122.25,4565100,83.6465
1999-08-03,122.75,123.12,118.19,119.37,6855900,81.6759
1999-08-04,120.0,121.87,118.06,118.5,5754800,81.0806
1999-08-05,120.0,124.0,117.56,123.19,7364500,84.2896
1999-08-06,122.0,127.0,121.0,123.5,6142600,84.5838
1999-08-09,123.62,124.44,121.12,122.19,4048100,83.6866
1999-08-10,121.5,122.5,118.94,119.31,5846200,81.7142
1999-08-11,120.12,123.75,119.81,123.31,5543000,84.4537
1999-08-12,123.75,123.81,121.0,121.12,5027800,82.9538
1999-08-13,122.75,124.5,122.0,123.37,4400400,84.4948
1999-08-16,125.0,127.87,124.5,127.37,4889000,87.2344
1999-08-17,128.5,128.56,126.56,128.5,5136400,88.0083
1999-08-18,128.38,129.63,123.5,123.87,6607000,84.8373
1999-08-19,123.87,124.87,121.25,122.94,7583300,84.2003
1999-08-20,124.37,124.37,121.06,121.75,5962000,83.3853
1999-08-23,122.75,124.87,122.31,124.44,6043500,85.2276
1999-08-24,123.37,123.62,121.0,122.0,8442100,83.5565
1999-08-25,122.0,124.06,120.87,122.37,6463000,83.8099
1999-08-26,122.62,125.87,122.06,122.94,6245300,84.2003
1999-08-27,125.0,125.19,122.75,124.0,4354600,84.9263
1999-08-30,124.25,125.62,122.69,123.19,4773000,84.3715
1999-08-31,124.37,126.0,122.87,124.56,6214400,85.3098
1999-09-01,125.62,128.5,125.5,127.25,6264400,87.1522
1999-09-02,126.5,126.75,124.25,125.87,5583100,86.207
1999-09-03,128.38,129.75,128.0,128.86,5282900,88.2548
1999-09-07,128.88,132.69,128.38,132.0,7552900,90.4054
1999-09-08,131.5,133.94,130.69,130.75,7206100,89.5493
1999-09-09,132.5,136.5,131.63,134.75,8423100,92.2888
1999-09-10,137.5,137.69,134.38,135.0,5089300,92.4601
1999-09-13,134.63,135.56,132.0,132.38,4442300,90.6657
1999-09-14,132.0,133.56,131.94,133.31,4590700,91.3026
1999-09-15,134.0,135.0,131.94,131.94,5655400,90.3643
1999-09-16,132.0,132.38,129.56,130.0,6092600,89.0356
1999-09-17,131.38,131.44,123.75,125.37,14857800,85.8646
1999-09-20,126.5,130.88,126.0,130.13,7543000,89.1247
1999-09-21,128.75,129.63,126.25,127.12,6983600,87.0631
1999-09-22,127.19,127.25,124.37,125.19,8091900,85.7413
1999-09-23,127.5,127.81,121.44,122.0,7590000,83.5565
